,0,urlPath
113,Chamaerops humilis :: Mediterranean Fan Palm,344
114,Liquidambar styraciflua 'Rotundiloba' :: Roundleaf sweetgum,819
115,Ficus retusa nitida :: Banyan Fig,1647
116,Betula pendula :: European White Birch,204
117,Cotoneaster SPP :: Cotoneaster,0
118,Fraxinus spp :: Ash Spp,0
119,Prunus domestica 'Mariposa' :: Mariposa Plum,1497
120,Crataegus laevigata :: English Hawthorn,281
121,Cupaniopsis anacardioides :: Carrotwood,466
122,Fraxinus uhdei :: Shamel Ash: Evergreen Ash,640
123,Callistemon citrinus :: Lemon Bottlebrush,238
124,Gleditsia triacanthos 'Sunburst' :: Sunburst Honey Locust,663
125,Ulmus americana :: American Elm,1433
126,Photinia fraseri :: Photinia: Chinese photinia,844
127,Acer rubrum 'Red Sunset' :: Red Swamp Maple,1524
128,Washingtonia robusta :: Mexican Fan Palm,1471
129,Acer rubrum 'October Glory' :: Red October Glory Maple,1524
130,Ginkgo biloba 'Autumn Gold' :: Ginkgo: Autumn Gold,657
131,Pistacia chinensis :: Chinese Pistache,1086
132,Laurus x 'Saratoga' :: Hybrid Laurel,803
133,Leptospermum laevigatum :: Australian Tea Tree,806
134,Quercus suber :: Cork Oak,1263
135,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,850
136,Laurus nobilis :: Sweet Bay: Grecian Laurel,12
137,Griselinia lucida :: Griselinia,679
138,Aesculus californica :: California Buckeye,132
139,Cassia leptophylla :: Gold Medallion Tree,266
140,Agonis flexuosa :: Peppermint Willow,143
141,Zelkova serrata 'Village Green' :: Village Green Zelkova,1839
142,Podocarpus gracilor :: Fern Pine,1113
143,Banksia integrifolia :: Coast Banksia,1694
144,Koelreuteria bipinnata :: Chinese Flame Tree,776
145,Ilex aquifolium :: European Holly,714
146,Persea americana :: Avocado,995
147,Chamaecyparis lawsoniana :: Port Orford Cedar,328
148,Archontophoenix cunninghamiana :: King Palm,178
149,Magnolia champaca :: Champa,1498
150,Leucodendron argenteum :: Silver Tree,809
151,Yucca gloriosa :: Spanish Dagger,1477
152,Metrosideros excelsa 'Aurea' ::,277
153,Olea Majestic Beauty ::,0
154,Acer buergeranum :: Trident Maple,39
155,Schinus polygamus :: Chilean pepper tree,1789
156,Melaleuca linariifolia :: Flaxleaf Paperbark,931
157,Magnolia x soulangiana :: Saucer Magnolia,873
158,Ulmus spp :: Elm Spp,0
159,Zelkova serrata :: Sawleaf Zelkova,1480
160,Liriodendron tulipifera :: Tulip Tree,825
161,Eriobotrya deflexa 'Coppertone' :: Coppertone Loquat,507
162,Cornus nuttallii x florida 'Eddie's White Wonder' :: Eddie's White Wonder Dogwood,391
163,Yucca spp :: Yucca,1474
164,Syagrus romanzoffianum :: Queen Palm,1361
165,Trachycarpus fortunei :: Windmill Palm,1423
166,Cassia excelsa :: Crown of Gold Tree,265
167,Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,1500
168,Taxus baccata :: Irish Yew,1389
169,Hymenosporum flavum :: Sweetshade,709
170,Eucalyptus camaldulensis :: River Red Gum,530
171,Prunus domestica 'Green Gage' :: Green Gage Plum,1497
172,Celtis sinensis :: Chinese Hackberry,302
173,Prunus cerasifera 'Atropurpurea' :: Purple-Leaf Plum,1500
174,Acacia dealbata :: Silver Wattle,23
175,Podocarpus macrophyllus :: Yew Pine,1116
176,Acer japonicum :: Japanese Maple,55
177,Phoenix dactylifera :: Date Palm,1001
178,Celtis australis :: European Hackberry,295
179,Elaeocarpus decipiens :: Japanese Blueberry Tree,1599
180,Ulmus parvifolia 'Drake' :: Drake's Chinese Elm,969
181,Ficus laurel ::,0
182,Tilia tomentosa :: Silver Linden,1418
183,Aesculus x carnea 'Briotii' :: Ruby Horse Chestnut,133
184,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,160
185,Palm (unknown Genus) :: Palm Spp,0
186,Pyrus x 'Bartlett' :: Bartlett Pear,0
187,Quercus wislizenii :: Interior Live Oak,1266
188,Maytenus boaria 'Green Showers' :: Meyten Tree 'Green Showers',925
189,Chionanthus retusa :: Chinese Fringe Tree,347
190,Platanus x hispanica 'Columbia' :: Columbia Hybrid Plane Tree,1826
191,Aesculus x carnea :: Red Horse Chestnut,133
192,Magnolia doltsopa :: Himalayan Magnolia,941
193,Ginkgo biloba 'Princeton Sentry' :: Princeton Sentry Maidenhair,662
194,Olea europaea 'Swan Hill' :: Olive,385
195,Ulmus 'Prospector' :: Prospector Elm,0
196,Agonis flexuosa 'After Dark' :: Peppermint willow 'After Dark',143
197,Acer rubrum 'Autumn Glory' :: Red Maple Tree 'Autumn Glory',1524
198,Malus sylvestris :: Apple,599
199,Myrica californica :: Pacific Wax Myrtle Tree,132
200,Callistemon viminalis :: Weeping Bottlebrush,241
201,Tilia spp :: Linden,1348
202,Cedrus atlantica :: Atlas Cedar,287
203,Ginkgo biloba 'Autumn Sentinel' :: Autumn Sentinel Ginkgo,657
204,Quercus tomentella :: Island oak,1484
205,Potential Site :: Potential Site,0
206,Punica granatum 'Wonderfu :: Pomegranate Tree 'Wonderful',1211
207,Ceiba speciosa :: Silk floss,1640
208,Syzygium australe :: Eugenia,581
209,Betula spp :: Birch,196
210,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,634
211,Pyrus calleryana 'Bradford' :: Ornamental Pear: Bradford,1214
212,Lagerstroemia indica :: Crape Myrtle,791
213,Dodonaea viscosa :: Hop Bush,495
214,Ligustrum japonicum :: Japanese Privet,810
215,Acer x freemanii :: Freeman Maple,1524
216,Prunus subhirtella 'Pendula' :: Weeping Cherry,1185
217,Pittosporum spp :: Pittosporum spp,0
218,Pittosporum tobira :: Japanese Mockorange,1096
219,Alnus rhombifolia :: White Alder,154
220,Cercis occidentalis :: Western Redbud,321
221,Calocedrus decurrens :: Incense Cedar,243
222,Photinia fraseri :: Photinia Tree,844
223,Ceanothus Sps :: California lilac,0
224,Magnolia grandiflora 'Russet' :: Russet Magnolia,160
225,Eucalyptus citriodora :: Lemon scented eucalyptus,533
226,Rhus lancea :: African Sumac,1284
227,Aesculus hippocastanum :: White Horsechestnut,138
228,Styrax japonicus :: Japanese Snowdrop Tree,1357
229,Umbellularia californica :: California Bay,950
230,Cercis canadensis :: Eastern Redbud,312
231,Pinus halepensis :: Allepo Pine,1051
232,Grevillea 'Red Hooks' :: Silk Oak Tree 'Red Hooks',0
233,Tilia americana 'Redmond' :: Redmond Linden,1415
234,Brahea edulis :: Guadalupe Palm,217
235,Pinus thunbergii :: Japanese Black Pine,1081
236,Ulmus carpinifolia 'Frontier' :: Frontier Elm 'Frontier',982
237,Morus alba :: White Mulberry,944
238,Nerium oleander :: Oleander,1396
239,Albizia julibrissin :: Mimosa Silk Tree,147
240,Dodonaea viscosa 'Purpurea' :: Purple Hopseed Bush,495
241,Melaleuca styphelliodes :: Paperbark Tree,0
242,Acacia cognata :: River Wattle,18
243,Alnus cordata :: Italian Alder,150
244,Acer saccharinum :: Silver Maple,111
245,Syringa :: Lilac Tree,1365
246,Magnolia grandiflora 'D.D. Blanchard' :: D.D. Blanchard Southern Magnolia,160
247,Hakea suaveolens :: Sweet Hakea Tree,221
248,Tibochina urvilleana :: Princess Flower,1404
249,Prunus x yedoensis :: Yoshino Cherry,1192
250,Quercus virginiana :: Southern Live Oak,1265
251,Crateagus spp :: Hawthorn,444
252,Magnolia grandiflora 'Majestic Beauty' :: Majestic Beauty Magnolia,160
253,Ficus Spp. ::,0
254,Fremontodendron spp :: Flannel Bush Tree,0
255,Carpinus betulus :: European Hornbeam,252
256,Gleditsia triacanthos :: Honey Locust,663
257,Robinia x ambigua 'Purple Robe' :: Purple Robe Locust,1289
258,Ilex altaclarensis 'Wilsonii' :: Wilson Holly Tree,1242
259,Grevillea spp :: Silkoak species,0
260,Thuja occidentalis 'Emerald' :: Emerald Arborvitae,202
261,Casuarina cunninghamiana :: Horsetail pine,179
262,Quercus robur :: English Oak,1256
263,Metrosideros spp ::,0
264,Acer palmatum 'Bloodgood' :: Bloodgood Japanese Maple,68
265,Platanus racemosa :: California Sycamore,1107
266,Quercus rubra :: Red Oak,1264
267,Eucalyptus robusta :: Swamp mahogany,565
268,Cotinus coggygria 'Royal Purple' :: Smoke tree,433
269,Quercus palustris :: Pin Oak,1249
270,Thuja plicata :: Western Red Cedar,1400
271,Melaleuca leucadendron :: Weeping Tea Tree,0
272,Rhamnus californica :: Coffeeberry Tree,132
273,Acacia cyclops :: Cyclops wattle,22
274,Abutilon hybridum :: Flowering maple,1894
275,Salix babylonica :: Weeping Willow,1224
276,Prunus x yedoensis 'Akebono' :: Daybreak Yoshino Cherry,1193
277,Liquidambar orientalis :: Oriental Sweet Gum,818
278,Dracaena draco :: Dragon Tree,498
279,Rhaphiolepis indica :: India Hawthorn,140
280,Nyssa sylvatica :: Tupelo: Sour Gum,590
281,patanus racemosa ::,1658
282,Juglans hindsii :: Walnut: Black (n.calif),745
283,Cedrela fissilis :: Argentine cedar,285
284,Robinia x ambigua 'Idahoensis' :: Idaho Pink Locust,446
285,Eucalyptus pulverulenta :: Silver Mountain Gum Tree,1494
286,Lagerstroemia spp :: Crape myrtle species,0
287,Eucalyptus lehmanni :: Bushy Yate,1489
288,Privet ::,810
289,Picea Spp :: Spruce Spp,0
290,Heteromeles arbutifolia :: Toyon,697
291,Leptospermum scoparium 'Ruby Glow' :: New Zealand Ruby Glow Tea Tree,1496
292,Persea borbonia :: False Avocado,998
293,Ginkgo biloba 'Fairmont' :: Fairmont Ginkgo,657
294,Eucalyptus leucoxylon mac 'Rosea' :: Yellow Gum,548
295,Hymenosporum flavum :: Sweet Shade,709
296,Grevillea robusta :: Silk Oak Tree,678
297,Pyracantha  'Santa Cruz' :: Firethorn Tree 'Santa Cruz',1
298,Fraxinus x Moraine :: Moraine Ash,0
299,Araucaria araucana :: Monkey puzzle,170
300,Acer macrophyllum :: Big Leaf Maple,58
301,Prunus persica :: Peach,224
302,Ficus macrophylla :: Morton Bay Fig,1866
303,Araucaria columnaris :: Coral reef araucaria,1492
304,Cryptomeria japonica :: Japanese Cryptomeria,460
305,Betula nigra :: River Birch,200
306,Quillaja saponaria :: Chilean Soapbark,1522
307,Corymbia maculata :: Spotted Gum,533
308,Fraxinus americana :: American Ash,620
309,Yucca elephantipes :: Giant Yucca,1475
310,Prunus ilicifoia :: Holly-leaved Cherry,0
311,Ulmus 'Frontier' :: Frontier Elm,0
312,Ficus rubiginosa :: Port Jackson Fig,614
313,Pyrus calleryana 'New Bradford' :: New Bradford Pear,1214
314,Private shrub :: Private Shrub,0
315,Ligustrum ovalifolium :: California privet,0
316,Sophora japonica :: Japanese Pagoda,1336
317,Malus floribunda :: Showy Crab Apple: Japanese Crabapple,1941
318,Populus spp :: Poplar Spp,0
319,Pyrus spp :: Pear Tree,0
320,Ficus carica :: Edible Fig,604
321,Chiranthodendron pentadactylon :: Monkey Hand Tree,349
322,Persea indica :: Indian Bay,140
323,Cycas revoluta :: Sago palm,1817
324,Juglans nigra :: Eastern black walnut,200
325,Fraxinus oxycarpa :: Ash,47
326,Prunus armeniaca :: Apricot,1151
327,Ailanthus altissima :: Tree Of Heaven,145
328,Platanus x hispanica 'Bloodgood' :: Bloodgood London Plane,1100
329,Azara microphylla :: Little-Leaf Azara,184
330,Ulmus parvifolia 'Sempervirens' :: Weeping Chinese Elm,969
331,Cercis canadensis 'Forest Pansy' :: Forest Pansy Redbud,159
332,Liquidambar styraciflua 'Palo Alto' :: Palo Alto Sweet Gum,819
333,Eucalyptus melliodora :: Yellow Box,553
334,Chitalpa tashkentensis ::,1488
335,Callistemon 'Jeffers' :: Purple bottlebrush,0
336,Albizia distachya :: Plume Albizia Tree,146
337,Acacia baileyana 'Purpurea' :: Purple-leaf Acacia,17
338,Howea forsteriana :: Kentia Palm,707
339,Eucalyptus torquata :: Coral Gum,572
340,Cupressus arizonica :: Arizona Cypress,471
341,Bambusa spp :: Bamboo Species,0
342,Arbutus unedo 'Compacta' :: Dwarf strawberry tree,177
343,Populus tremuloides :: Quaking aspen,1137
344,Citrus × meyeri 'Improved' :: Improved Meyer Lemon,0
345,Sapium sebiferum :: Chinese Tallow,1317
346,Gleditsia triacanthos 'Shademaster' :: Honey Locust 'Shademaster',663
347,Salix discolor :: Pussy Willow,1301
348,Vitex lucens :: Puriri tree,1468
349,Fraxinus angustifolia :: Narrow-leaved Ash,1942
350,Brachychiton discolor ::,1510
351,Eucalyptus saligna :: Sidney Blue Gum,34
352,Pyrus calleryana 'Redspire' :: Ornamental Pear Tree 'Redspire',1214
353,Solanum rantonnetti ::,0
354,Robinia x ambigua :: Locust,663
355,Eucalyptus cinerea :: Ash-colored Eucalyptus,532
356,Juniperus californica :: California juniper,750
357,Sophora japonica 'Regent' :: Regent Scholar Tree,1338
358,Salix lasiolepis :: Arroyo willow,1304
359,Cussonia spicata :: Cabbage tree,388
360,Meryta sinclairii :: Puka or puke tree,705
361,Fagus sylvatica :: European Beech,590
362,Podocarpus henkelii :: Long-Leafed Yellow-Wood,1520
363,Quercus lobata :: Valley Oak,1246
364,Quercus coccinea :: Scarlet Oak,1233
365,Pyrus calleryana 'Capital' :: Ornamental Pear Tree 'Capital',1214
366,Cedrus libani :: Lebanon cedar,287
367,Chamaecyparis obtusa :: Hinoki cypress,333
368,Corymbia citriodora :: Lemon Scented Gum,533
369,Prunus lyonii :: Catalina Cherry,1167
370,Crataegus laevigata 'Paul's Scarlet' :: Paul's Scarlet Hawthorn,296
371,Acca sellowiana :: Pineapple Guava Tree,599
372,Prunus spp :: Flowering Plum,1170
373,Quercus frainetto 'Trump' :: Hungarian Oak,1575
374,Chorisia speciosa :: Silk Floss Tree,279
375,Brahea armata :: Blue hesper palm,215
376,Phoenix spp :: Date palm (species unknown),0
377,Liquidambar styraciflua 'Festival' :: Festival Sweet Gum,819
378,Arctostaphylos manzanita 'Dr Hurd' :: Dr. Hurd Manzanita,1540
379,Archontophoenix myolensis :: Myola palm,0
380,Acacia vestita :: Hairy wattle,0
381,Juglans regia :: Walnut: English,486
382,Jubaea chilensis :: Chilean Wine Palm,743
383,Fraxinus ornus :: Flowering Ash,632
384,Corymbia calophylla ::,529
385,Pinus coulteri :: Coulter pine,1041
386,Ginkgo biloba 'Saratoga' :: Ginkgo: Saratoga,657
387,Ficus microcarpa 'Retusa' :: Pot Belly Fig,1754
388,Eucalyptus macarthuri :: Camden Wollybutt,1210
389,Musa spp :: Banana,181
390,Eucalyptus longifolia :: Woollybutt,27
391,Diospyros kaki :: Persimmon,490
392,Eucalyptus viminalis :: Manna Gum,573
393,Dicksonia antarctica :: Soft Tree Fern,488
394,Schefflera species :: Umbrella tree,1319
395,Leucadendron 'Gold Strike' :: Yellow conebush,0
396,Tilia americana :: Basswood Linden,423
397,Rhopalostylis baueri :: Palm,66
398,Acer tegmentosum :: Manchurian snakebark maple,0
399,Taxodium mucronatum :: Montezuma Cypress,1387
400,Pinus muricata :: Bishop Pine,1058
401,Prunus serrulata 'Royal Burgundy' :: Royal Burgundy Flowering Cherry Tree,1007
402,Metasequoia glyplostroboides :: Dawn Redwood,938
403,Ulmus procera :: English Elm,1444
404,Styphnolobium japonicum :: Chinese scholar tree,55
405,Erythrina caffra :: Coral tree,515
406,Cupressus spp :: Cypress species,0
407,Prunus serrulata 'Mt. Fuji' :: Mt. Fuji Cherry Tree,1007
408,x Chiranthofremontia lenzii :: Hybrid Monkey Hand Tree,0
409,Rhus typhina :: Staghorn sumac,1286
410,Quercus engelmannii :: Engelmann oak,1238
411,Eucalyptus rudis :: Swamp Gum: Flooded Gum,566
412,Dypsis cabadae :: Cabada palm,0
413,Casurina stricta :: Beefwood: Drooping She-Oak,277
414,Prunus caroliniana :: Carolina Cherry Laurel,686
415,Cercocarpus betuloides :: Mountain mahogany,325
416,Prunus serrulata 'Akebono' :: 'Akebono' Cherry,1007
417,Celtis occidentalis :: Common Hackberry,296
418,Platanus orientalis :: Eastern Plane Tree,818
419,Ziziphus jujuba :: Jujube,1483
420,Salix matsudana 'Tortuosa' :: Corkscrew Willow,1306
421,Lagerstroemia indica 'Natchez' :: Natchez Crape Myrtle,140
422,Crinodendron patagua :: Lily-of-the-Valley Tree,458
423,Populus alba :: White Poplar,1122
424,Carpinus betulus 'Fastigiata' :: Upright European Hornbeam,252
425,Brachychiton acerifolius :: Australian Flame Tree,213
426,Fraxinus americana 'Autumn Purple' :: American Autumn Purple Ash,423
427,Rhamnus alaternus 'John Edwards' :: John Edwards Buckthorn,1268
428,Juniperus scopulorum 'Pat :: Juniper Tree 'Pathfinder',762
429,Prunus domestica 'Santa Rosa' :: Santa Rosa Plum,1497
430,Robinia pseudoacacia 'Umbraculifera' :: Globe Locust,1289
431,Acer x freemanii 'Autumn Blaze' :: Autumn Blaze Freeman Maple,1524
432,Cornus SPP :: Dogwood,392
433,Prunus spp 'Purpurea' :: Cherry Plum,1500
434,Garrya elliptica 'Evie' :: Evie Coast Silktassel Tree,1622
435,Malus x 'Callaway' :: White-Flowered Crabapple,899
436,Corynocarpus laevigata :: New Zealand Laurel,432
437,Prunus serrulata 'Amanagawa' :: Flowering Cherry Tree 'Amanagawa',1007
438,Prunus laurocerasus :: English laurel,1165
439,Prunus serrula :: Birchbark Cherry,1181
440,Aloe barberae :: Tree aloe,1507
441,Citrus x hystrix :: Kaffir lime,0
442,Eucalyptus microtheca :: Flooded Box: Coolibah,0
443,Liquidambar styraciflua 'Burgundy' :: Burgundy Sweet Gum,819
444,Ulmus parvifolia 'Athena' :: Chinese Elm 'Athena',969
445,Prunus cerasifera 'Thundercloud' :: Purple-Leaf Plum 'Thundercloud',1500
446,Psidium guajava :: Guava tree,1203
447,Sambucus species :: Elderberry,1312
448,Populus canadensis :: Canadian Poplar,1127
449,Pinus strobus :: Eastern white pine,1074
450,Acer circinatum :: Vine Maple,45
451,Populus trichocarpa :: Black Cottonwood Poplar,1138
452,Malus floribunda 'Prairie Fire' :: Prairie Fire Crabapple Tree,1941
453,Magnolia x alba :: White Champaca,1498
454,Leptospermum petersonii :: Lemon Scented Tea Tree,807
455,Livistona chinensis :: Chinese fan palm,829
456,Cornus florida :: Eastern Dogwood,396
457,Platanus occidentalis :: American sycamore,1104
458,Pinus sylvestris :: Scots Pine,1078
459,Fraxinus velutina :: Modesto Ash,644
460,Eucalyptus odorata :: Peppermint Box,1895
461,Acer platanoides :: Norway Maple,78
462,Citrus × limon 'Lisbon' :: Lisbon Lemon Tree,364
463,Quercus alba :: White oak,1228
464,Acer negundo :: Box Elder,60
465,Caryota maxima 'Himalaya' :: Himalayan Fishtail Palm,260
466,Acer pseudoplatanus :: Sycamore Maple,98
467,Ulmus propinqua 'Emerald Sunshine' :: Emerald Sunshine Elm,1612
468,Paulownia fortunei :: Dragon tree,498
469,Prunus serrulata 'Double Pink Weeping' :: Weeping Double Pink Flowering Cherry,1007
470,Lagerstroemia indica 'Tuscarora' :: Tuscarora Crape Myrtle,140
471,Phoenix roebelenii :: Pigmy Date Palm,1004
472,Acer platanoides 'Crimson King' :: Norway maple,78
473,Citrus aurantifolia 'Bearss' :: Seedless Lime,360
474,Brachychiton populneus :: Bottle Tree,213
475,Escallonia bifida :: White escallonia,523
476,Hakea laurina :: Sea Urchin Tree,683
477,Chamaecyparis species ::,0
478,Yucca aloifolia :: Spanish bayonet,0
479,Ficus carica 'Black Mission' :: Black Mission Fig,604
480,Butia capitata :: Pindo Palm,229
481,Pinus thunbergii 'Thunderhead' :: Thunderhead Pine,1081
482,Prunus subhirtella 'autumnalis' :: Higan Cherry,1185
483,Prunus x 'Amanogawa' :: Flowering Cherry,1145
484,Pyrus calleryana 'Cleveland' :: Ornamental Pear Tree 'Cleveland',1214
485,Fraxinus holotricha :: Holotricha Ash,0
486,Ulmus parvifolia 'True Green' :: True Green Chinese Elm,1442
487,New Zealand Tea Tree :: New Zealand Tea Tree,1496
488,Melia azerdarach :: Chinaberry,935
489,Alnus rubra :: Red Alder,153
490,Viburnum odoratissimum var. awabuki :: Sweet viburnum,1455
491,Eucalyptus simmondsi :: Simmond's Peppermint,0
492,Quercus douglasii :: Blue Oak,1234
493,Acer ginnela :: Amur Maple,49
494,Radermachera sinica :: China Doll Tree,1712
495,Auranticarpa rhombifolia :: Queensland Pittosporum,1094
496,Juglans californica :: Walnut: Black (s.calif),132
497,Sorbus aucuparia :: European Mountain Ash Tr,1342
498,Liquidambar styraciflua 'Slender Silhoutte' :: Upright Liquidambar,819
499,Prunus sargentii :: Sargent Cherry,1176
500,Liquidambar formosana :: Chinese Sweet Gum,778
501,Beaucarnea recurvata :: Ponytail palm,195
502,Leptospermum scoparium 'Snow White' :: New Zealand White Tea Tree,1496
503,Geijera spp :: Geijera,654
504,Brahea brandegeei :: San Jose hesper palm,216
505,Pinus pinaster :: Maritime Pine,1066
506,Sambucus mexicana :: Blue Elderberry,1314
507,Morus rubra :: Red mulbeerry,153
508,Ficus carica 'Brown Turkey' :: Brown Turkey Fig,604
509,Acer campestre :: Hedge Maple,40
510,Fraxinus velutina 'Modesto' :: Modesto Ash Tree 'Modesto',643
511,Juglans 'Paradox' :: Paradox Walnut Tree 'Paradox',1621
512,Ulmus glabra :: Scotch Elm,1437
513,Prunus lusitanica :: Portugese Cherry Laurel,1166
514,Malus 'Gala' :: Apple Tree 'Gala',0
515,Magnolia doltsopa 'Silvercloud' :: Silvercloud Magnolia,941
516,Phoenix reclinata :: Senegal date palm,1003
517,Euphorbia ingens :: Candelabra tree,1942
518,Wodyetia bifurcata :: Foxtail palm,1692
519,Ilex opaca :: American Holly,728
520,Acer x 'Autumn Blaze' :: Hybrid Maple,0
521,Brahea aramata :: Mexican Blue Palm,215
522,Fortunella margarita :: Kumquat,617
523,Corylus colurna :: Hazel: Turkish,426
524,Magnolia x foggii 'Jack Fogg' :: Jack Fogg Michelia,0
